description,funding_total_usd,competitors,target
A crazy app app,199276,47,1
I want to build a Crypto for students,1025553,69,1
Selling exclusive restaurant online,495528,20,0
A platform connecting doctors with agency,245057,50,0
Selling sustainable app online,100764,82,0
I want to build a Drone for doctors,3884473,76,1
A platform connecting rich people with app,2905104,82,1
A platform connecting students with restaurant,5510,62,0
Automated app tool,236379,48,0
Like Google but for freelancers,2902628,93,0
Automated app tool,173691,51,0
Selling local app online,9867171,68,1
A platform connecting kids with cafe,46573,49,0
Basically Uber for designers,89464,78,0
Selling simple store online,455676,28,1
Best luxury store in Global,69764,67,1
I want to build a Neural Net for seniors,9628635,60,1
A exclusive app app,382933,17,1
Website to find rich people,289983,57,0
Neural Net that helps kids to travel cheaper,3544423,50,1
A sustainable app app,40114,34,0
Automated app tool,396608,14,0
Website to find kids,7010161,52,1
Selling fast gym online,194247,55,0
Selling cheap agency online,248097,32,0
A platform connecting students with app,8943001,91,0
A platform connecting students with cafe,198457,69,0
Selling sustainable consulting online,136546,60,0
Neural Net that helps students to travel cheaper,2889266,42,1
app that helps freelancers to learn coding,386073,22,0
Selling luxury bakery online,373936,53,0
Website to find freelancers,10745,53,0
I want to build a app for gamers,205829,52,0
A sustainable app app,397859,47,0
Basically Tinder for seniors,443289,47,0
app that helps kids to learn coding,435845,23,0
Basically Spotify for freelancers,497370,42,0
Automated app tool,442116,46,1
I want to build a app for gamers,16688,61,0
A platform connecting seniors with app,4781324,90,0
Best fast app in online,9264879,66,1
Automated Algorithm tool,2717037,82,1
A crazy AI app,3368683,77,1
A local app app,475048,50,0
I want to build a app for freelancers,194976,58,0
Automated Drone tool,8909642,75,1
Like Uber but for designers,441964,27,0
Like Airbnb but for dogs,976201,95,0
Best cheap salon in Remote,382234,61,0
A platform connecting kids with app,1960562,66,1
Automated Neural Net tool,2634022,56,1
Selling fast app online,1373794,51,1
Selling luxury bakery online,361771,47,0
Automated app tool,332950,53,0
Blockchain that helps seniors to travel cheaper,7443151,62,1
Best local clothing brand in Mumbai,299769,22,0
I want to build a app for seniors,465832,48,0
A platform connecting dogs with restaurant,365237,15,1
Automated app tool,70672,28,0
Selling crazy cafe online,119273,36,0
Automated Blockchain tool,9260038,95,0
Selling local salon online,20347,38,1
Best sustainable agency in Remote,322300,68,0
app that helps kids to save money,99334,40,0
Website to find doctors,5397091,79,1
Selling smart app online,8323227,69,1
app that helps rich people to travel cheaper,450045,59,0
Like Tinder but for kids,488834,47,1
A platform connecting kids with app,7641277,61,1
Like Facebook but for designers,449344,54,0
Selling fast clothing brand online,253949,65,1
Website to find kids,325363,25,0
app that helps dogs to travel cheaper,224724,56,0
A platform connecting gamers with app,7251485,45,1
Best sustainable app in online,5762854,95,1
app that helps gamers to get fit,106942,30,1
A platform connecting designers with gym,417856,18,0
Automated SaaS tool,2022491,41,1
A exclusive AI app,4426107,95,0
Website to find freelancers,341235,59,0
A exclusive SaaS app,8913988,47,1
Basically Google for seniors,7643850,45,1
I want to build a Platform for doctors,8877179,82,0
Best fast gym in London,414488,68,0
Website to find rich people,12388,35,0
Automated Bot tool,2171465,79,1
A exclusive app app,201693,36,0
A local app app,71755,15,1
A platform connecting gamers with bakery,189562,14,1
Website to find dogs,328012,43,0
Website to find kids,3247214,86,1
Selling smart restaurant online,59022,45,0
Best sustainable app in online,2521983,77,1
Like Spotify but for freelancers,7340037,65,1
I want to build a Bot for students,5868388,82,1
Like Facebook but for freelancers,426459,44,1
A luxury app app,404723,27,0
Website to find freelancers,251635,66,1
A platform connecting designers with cafe,236895,55,0
A platform connecting seniors with app,3047051,84,1
Automated SaaS tool,1021018,52,1
Like Spotify but for seniors,4264942,45,1
Automated Algorithm tool,9048665,87,0
Like Facebook but for rich people,104674,69,0
A platform connecting freelancers with agency,162958,47,0
I want to build a app for students,88463,15,0
Basically Amazon for rich people,7214198,95,0
A cheap Drone app,7639986,42,1
Best exclusive consulting in Bangalore,265230,45,1
I want to build a Chatbot for freelancers,6841460,48,1
A platform connecting designers with app,3534433,71,1
Selling luxury restaurant online,287300,51,0
A platform connecting kids with clothing brand,213308,55,0
A platform connecting designers with cafe,7052,26,0
A fast Crypto app,4578954,84,0
Best exclusive app in online,4628087,63,1
Best luxury restaurant in Delhi,436300,63,0
I want to build a Drone for designers,3292046,61,1
Automated Crypto tool,5460513,90,1
Website to find seniors,1232154,75,1
I want to build a app for freelancers,19510,40,0
Best luxury consulting in New York,209294,48,1
Best crazy cafe in Remote,14004,61,0
Automated SaaS tool,682344,94,0
Best fast app in online,8708940,88,0
Like Netflix but for seniors,5904669,51,1
Like Google but for doctors,346155,41,0
A platform connecting rich people with cafe,143358,25,0
Selling luxury store online,68792,56,0
Website to find dogs,435699,54,0
I want to build a Chatbot for dogs,5505032,86,0
I want to build a Chatbot for dogs,9842957,86,0
A simple AI app,1599161,95,0
Like Uber but for seniors,3505576,91,1
Blockchain that helps dogs to find jobs,5994268,95,0
I want to build a app for dogs,19081,11,0
I want to build a app for gamers,55996,43,0
Automated Chatbot tool,276279,63,0
Website to find doctors,6528012,70,1
Best simple gym in Remote,356786,56,0
A platform connecting kids with bakery,105555,60,0
Selling fast gym online,41713,39,0
I want to build a app for kids,437724,59,0
Website to find freelancers,339369,20,0
Basically Spotify for seniors,137222,38,0
A platform connecting designers with agency,314463,57,1
Website to find freelancers,9202156,52,1
A cheap app app,490921,33,0
Basically Netflix for freelancers,445623,19,0
Bot that helps dogs to meet people,24867,92,0
Like Uber but for rich people,804827,77,0
Basically Spotify for seniors,381798,62,0
app that helps dogs to save money,320969,59,0
A platform connecting freelancers with clothing brand,156205,69,0
I want to build a app for designers,405556,41,0
Selling simple cafe online,309213,27,0
A luxury AI app,7046826,57,1
Basically Spotify for rich people,379740,28,0
app that helps seniors to find jobs,479107,59,1
Selling cheap app online,1152660,74,1
Best fast agency in Global,394038,62,0
A platform connecting dogs with bakery,261932,27,0
Automated Neural Net tool,5271871,92,1
Best cheap agency in Mumbai,271662,48,0
I want to build a Neural Net for dogs,9753261,72,1
Selling smart app online,8538551,67,1
app that helps doctors to learn coding,41018,45,0
Basically Facebook for rich people,5783586,81,1
Best cheap app in online,5633314,70,1
Basically Tinder for gamers,305986,52,0
I want to build a Drone for rich people,7797091,81,1
Website to find dogs,325065,64,0
Website to find dogs,457424,11,1
Crypto that helps doctors to find jobs,7783748,67,1
Automated Blockchain tool,6332270,92,1
I want to build a app for gamers,119640,12,0
Selling cheap app online,9102751,81,1
SaaS that helps doctors to find jobs,6411151,51,1
I want to build a Platform for doctors,7546680,60,1
Like Amazon but for kids,209175,36,0
Best exclusive bakery in London,277054,50,0
A sustainable app app,67841,55,0
AI that helps rich people to save money,4334871,63,1
Selling sustainable store online,49339,84,0
Like Spotify but for seniors,285215,53,0
A exclusive app app,251252,50,1
Basically Spotify for students,144153,40,0
Best cheap app in online,2210020,68,1
A exclusive Neural Net app,1914565,46,1
A platform connecting doctors with restaurant,201212,10,0
A simple Neural Net app,672379,58,0
Best fast app in online,8858188,45,1
Best exclusive app in online,9602357,71,1
app that helps designers to travel cheaper,133499,43,0
Best cheap store in Remote,238047,60,0
Blockchain that helps kids to save money,8440072,86,0
I want to build a app for doctors,225531,14,1
Basically Spotify for seniors,234357,44,0
A smart app app,135861,30,0
Selling exclusive app online,6001676,75,1
Automated app tool,326516,48,0
Basically Netflix for seniors,426630,57,0
Basically Tinder for dogs,296135,24,0
Best luxury gym in London,274333,23,1
I want to build a app for kids,152197,32,0
Basically Google for seniors,4122714,52,1
Like Amazon but for seniors,9414638,68,1
Like Airbnb but for gamers,112576,64,0
app that helps students to meet people,231322,44,0
Like Amazon but for seniors,252313,95,0
Like Spotify but for dogs,89142,52,1
Automated app tool,247318,61,1
Basically Spotify for kids,117496,34,0
Automated app tool,435654,64,0
Selling cheap gym online,451975,28,0
Automated app tool,130555,23,0
Best crazy store in Global,490059,23,0
Automated app tool,200739,54,0
Automated app tool,208332,40,1
A sustainable app app,292902,25,0
Basically Airbnb for rich people,399172,43,0
I want to build a app for rich people,151933,66,0
I want to build a app for designers,247222,32,0
I want to build a app for freelancers,368632,44,0
Basically Uber for dogs,429867,64,1
Best cheap app in online,3528976,73,1
app that helps kids to meet people,12968,58,0
A cheap app app,347933,18,1
I want to build a app for rich people,33757,45,1
app that helps freelancers to find jobs,251908,13,1
A sustainable app app,66011,26,1
I want to build a app for students,211434,26,0
A platform connecting rich people with gym,492676,66,0
Automated app tool,195563,26,0
Website to find dogs,8975370,73,1
I want to build a Platform for doctors,3375510,92,1
Selling simple agency online,290309,57,0
A sustainable Neural Net app,2299091,76,1
A local Algorithm app,8649109,28,1
Selling smart salon online,68823,21,0
AI that helps dogs to learn coding,121513,95,0
Like Netflix but for dogs,470453,57,0
A platform connecting students with consulting,251576,17,0
Like Google but for designers,532844,89,0
Basically Tinder for doctors,3218246,44,1
A smart app app,229870,25,0
A cheap SaaS app,8475613,48,1
Website to find dogs,4882586,92,0
I want to build a app for rich people,52401,59,1
Basically Uber for doctors,3444077,83,1
Basically Spotify for kids,253009,68,0
I want to build a Drone for doctors,6495586,61,1
I want to build a app for students,344087,27,0
Website to find freelancers,372942,42,0
Basically Uber for students,455481,46,1
Crypto that helps dogs to get fit,3587668,73,1
A sustainable Neural Net app,1423780,95,0
Automated Chatbot tool,8912728,49,1
Drone that helps rich people to learn coding,9939662,48,1
Automated app tool,310139,19,1
Basically Uber for rich people,151705,66,0
Automated app tool,105359,32,1
A platform connecting dogs with gym,36350,35,0
A crazy app app,146674,23,0
Selling simple app online,1345100,92,0
A fast app app,123654,18,0
Basically Facebook for designers,1176178,90,1
Website to find dogs,348720,46,0
A exclusive app app,73454,17,1
Basically Spotify for dogs,245247,33,0
Website to find freelancers,9226915,59,1
Automated Chatbot tool,8926372,91,0
Like Netflix but for rich people,2762160,70,1
Selling crazy app online,3786881,92,1
Automated Algorithm tool,6647367,44,1
A luxury Platform app,5102985,75,1
Website to find seniors,8762451,48,1
Like Spotify but for gamers,7924851,45,1
A platform connecting students with cafe,448022,59,0
A platform connecting seniors with agency,444026,19,1
I want to build a app for doctors,200581,16,0
Like Facebook but for students,242177,60,1
Basically Netflix for freelancers,417798,28,0
app that helps doctors to travel cheaper,244228,19,0
A platform connecting doctors with app,194882,54,0
Like Amazon but for kids,46139,78,0
A exclusive app app,136028,25,0
Like Google but for freelancers,79351,56,0
